#,title,timeText,time
27,"Tessl raises $125M for a zero maintenance, spec-centric AI software dev platform","30 minutes ago","2024-11-14T15:57:01.280Z"
28,"BAML is a language that helps you get structured data from LLMs","31 minutes ago","2024-11-14T15:56:01.280Z"
29,"Using physics to understand the behavior of crowds","34 minutes ago","2024-11-14T15:53:01.280Z"
30,"WPEngine Accuses Automattic of WordPress Monopoly Abuse in New Lawsuit [pdf]","35 minutes ago","2024-11-14T15:52:01.930Z"
31,"How Not to Fool the Masses When Giving Performance Results for Quantum Computers","35 minutes ago","2024-11-14T15:52:01.280Z"
32,"Ask HN: Is Builder.io abandoned? anyone using it for production","37 minutes ago","2024-11-14T15:50:01.930Z"
33,"On Building Git for Lawyers","38 minutes ago","2024-11-14T15:49:01.930Z"
34,"The Unreasonable Effectiveness of IIT","40 minutes ago","2024-11-14T15:47:01.930Z"
35,"The Trillionaires of Mars","43 minutes ago","2024-11-14T15:44:01.930Z"
36,"The Good Whale","44 minutes ago","2024-11-14T15:43:01.930Z"
37,"Show HN: Unicorn Ratio – Investing models for YC demo day","47 minutes ago","2024-11-14T15:40:01.930Z"
38,"Show HN: Easily Upload Files to Claude Projects","51 minutes ago","2024-11-14T15:36:01.930Z"
39,"Damn It worked last week","54 minutes ago","2024-11-14T15:33:01.930Z"
40,"Not a Real Developer","54 minutes ago","2024-11-14T15:33:01.930Z"
41,"Trump is about to change everything for tech startups","54 minutes ago","2024-11-14T15:33:01.930Z"
42,"Boston Dynamics Spot Robot Watches Its Step [video]","58 minutes ago","2024-11-14T15:29:01.930Z"
43,"GPT-4o web agent demo","1 hour ago","2024-11-14T15:27:03.256Z"
44,"Stewart's Shops stops tap-to-pay options due to scammers","1 hour ago","2024-11-14T15:27:03.256Z"
45,"Generative AI doesn't have a coherent understanding of the world","1 hour ago","2024-11-14T15:27:03.256Z"
46,"I work at a convenience store. A Google AI bot just called me","1 hour ago","2024-11-14T15:27:03.256Z"
47,"Orientalism: Desert Level Music vs. Actual Middle-Eastern Music [video]","1 hour ago","2024-11-14T15:27:03.256Z"
48,"Why is it so hard to find a job now? Enter Ghost Jobs","1 hour ago","2024-11-14T15:27:03.256Z"
49,"Attention to Dependencies Breeds Maintainability","1 hour ago","2024-11-14T15:27:03.256Z"
50,"Unpatched Remote Code Execution in Gogs","1 hour ago","2024-11-14T15:27:03.256Z"
51,"CFPB looks to place Google under federal supervision","1 hour ago","2024-11-14T15:27:03.256Z"
52,"Air traffic failure caused by two locations 3600nm apart sharing 3-letter code","1 hour ago","2024-11-14T15:27:02.593Z"
53,"Meta Fined $843M by EU over Marketplace Ads","1 hour ago","2024-11-14T15:27:02.593Z"
54,"Meta Fined €798M by EU over Classified Ads Dominance","1 hour ago","2024-11-14T15:27:02.593Z"
55,"World's Largest Coral Found in the Pacific","1 hour ago","2024-11-14T15:27:02.593Z"
56,"Clifton Suspension Bridge Leaves X","1 hour ago","2024-11-14T15:27:02.593Z"
57,"The Early Christian Strategy","1 hour ago","2024-11-14T15:27:02.593Z"
58,"Screen-Free Activities for Kids","1 hour ago","2024-11-14T15:27:02.593Z"
59,"AI #90: The Wall","1 hour ago","2024-11-14T15:27:02.593Z"
60,"China's Latest Livestream Sensation: Shopping with a Game of Chance","1 hour ago","2024-11-14T15:27:02.593Z"
61,"Show HN: PromptL, a templating language designed for LLM prompting","1 hour ago","2024-11-14T15:27:02.593Z"
62,"Deep Dive: Understanding Federal Agencies","1 hour ago","2024-11-14T15:27:02.593Z"
63,"Copilot Edits","1 hour ago","2024-11-14T15:27:02.593Z"
64,"We can all be AI engineers – and we can do it with open source models","1 hour ago","2024-11-14T15:27:02.593Z"
65,"Not Satire: The Onion Acquires Infowars","1 hour ago","2024-11-14T15:27:02.593Z"
66,"Meteorite contains evidence of liquid water on Mars 742M years ago","1 hour ago","2024-11-14T15:27:02.593Z"
67,"Does privacy still matter in crypto trading bots?","1 hour ago","2024-11-14T15:27:02.593Z"
68,"Show HN: Unin – A platform where recruiters find you","1 hour ago","2024-11-14T15:27:02.593Z"
69,"macOS Sequoia "autocorrects" .sql extension to .sql.s","1 hour ago","2024-11-14T15:27:02.593Z"
70,"AWS Lambda turns 10: A rare look at the doc that started it","1 hour ago","2024-11-14T15:27:02.593Z"
71,"I made an AI for podcasters better than ChatGPT","1 hour ago","2024-11-14T15:27:02.593Z"
72,"C++/Rust Interoperability Problem Statement","1 hour ago","2024-11-14T15:27:02.593Z"
73,"'spectral fingerprint' atlas of satellites aims to improve space security","1 hour ago","2024-11-14T15:27:02.593Z"
74,"Utilize the Tor network to access free proxies for any use case","1 hour ago","2024-11-14T15:27:02.593Z"
75,"My Adventures in Entrepreneurship","1 hour ago","2024-11-14T15:27:02.593Z"
76,"The Onion wins auction to take control of Alex Jones's Infowars","1 hour ago","2024-11-14T15:27:02.593Z"
77,"The Onion buys rightwing conspiracy site Infowars","1 hour ago","2024-11-14T15:27:02.593Z"
78,"Ask HN: Do you distribute your macOS apps on the App Store?","1 hour ago","2024-11-14T15:27:02.593Z"
79,"Study Revolutionizes Restless Legs Syndrome Treatment","1 hour ago","2024-11-14T15:27:02.593Z"
80,"The Most Dangerous Thing an AI Startup Can Do Is Build for Other AI Startups","1 hour ago","2024-11-14T15:27:02.593Z"
81,"Supporting coworkers, employees, and friends in this time","1 hour ago","2024-11-14T15:27:02.593Z"
82,"Cloudflare: Account Owned Tokens and Zaraz Automated Actions","1 hour ago","2024-11-14T15:27:01.930Z"
83,"How we built the SQL autocomplete framework with ANTLR4","1 hour ago","2024-11-14T15:27:01.930Z"
84,"Did you know? WordPress is dead","1 hour ago","2024-11-14T15:27:01.930Z"
85,"Sanctuary AI Is Betting Big on Human-Like Machines That Learn and Work","1 hour ago","2024-11-14T15:27:01.930Z"
86,"YC Graveyard","1 hour ago","2024-11-14T15:27:01.930Z"
87,"Lambs Born in April","1 hour ago","2024-11-14T15:27:01.930Z"
88,"Online Safety and the "Great Decentralization" –Unpacking Federated Social Media","1 hour ago","2024-11-14T15:27:01.930Z"
89,"Is AI Progress Hitting a Wall? No","1 hour ago","2024-11-14T15:27:01.930Z"
90,"Show HN: Remy – AI-Curated Video Playlists on Any Topic","1 hour ago","2024-11-14T15:27:01.930Z"
91,"Pulse Physiology Engine","1 hour ago","2024-11-14T15:27:01.930Z"
92,"Here’s Why I Decided to Buy 'InfoWars' [The Onion, but real news]","1 hour ago","2024-11-14T15:27:01.930Z"
93,"NRL Engineers Ready Robotic Servicing of Geosynchronous Satellites","1 hour ago","2024-11-14T15:27:01.930Z"
94,"Analysis of algorithmic bias on platform X during the 2024 US election","1 hour ago","2024-11-14T15:27:01.930Z"
95,"Optimized solution of Kepler's equation (1972) [pdf]","1 hour ago","2024-11-14T15:27:01.930Z"
96,"Show HN: SnapSummary – AI-Powered YouTube Summaries","1 hour ago","2024-11-14T15:27:01.930Z"
97,"Robots are taking over marathons in China","1 hour ago","2024-11-14T15:27:01.930Z"
98,"Faulty Colorsofts have left some Kindle owners without an e-reader","1 hour ago","2024-11-14T15:27:01.930Z"
99,"Stop Complaining, Talk to Your Manager","1 hour ago","2024-11-14T15:27:01.930Z"
100,"Japan unveils $65B plan to aid domestic chip industry","2 hours ago","2024-11-14T14:27:03.925Z"
101,"Show HN: Playrun – Quality Assurance on Autopilot","2 hours ago","2024-11-14T14:27:03.925Z"
102,"Ancient youth offers insights into why the human brain matures slowly","2 hours ago","2024-11-14T14:27:03.925Z"
103,"Standard Notes and Proton's journey so far","2 hours ago","2024-11-14T14:27:03.925Z"
104,"A memory leak in Apple's Network Extension framework","2 hours ago","2024-11-14T14:27:03.925Z"
105,"Scaling Kafka with WebSockets","2 hours ago","2024-11-14T14:27:03.925Z"
106,"Ask HN: Help assembling hacker Xmas presents for kids?","2 hours ago","2024-11-14T14:27:03.925Z"
107,"Door-to-door saleswomen are fueling Shein's rise in Mexico","2 hours ago","2024-11-14T14:27:03.925Z"
108,"FBI raids home and seizes phone of Polymarket founder","2 hours ago","2024-11-14T14:27:03.925Z"
109,"Quarry: A modern computing environment for your World","2 hours ago","2024-11-14T14:27:03.925Z"
110,"Amazon Reportedly Developing Smart Glasses for Delivery Drivers","2 hours ago","2024-11-14T14:27:03.925Z"
111,"Typesetting and printing a family memoir (2017)","2 hours ago","2024-11-14T14:27:03.925Z"
112,"File over App: A Philosophy for Digital Longevity","2 hours ago","2024-11-14T14:27:03.925Z"
113,"Show HN: Knowing – an LLM tool built on concept hierarchies, not prompt-response","2 hours ago","2024-11-14T14:27:03.925Z"
114,"Why I'm Writing to You","2 hours ago","2024-11-14T14:27:03.925Z"
115,"The Culture of Recommendations Through Algorithms","2 hours ago","2024-11-14T14:27:03.925Z"
116,"Education for Carreer in AI","2 hours ago","2024-11-14T14:27:03.925Z"
117,"ErisForge: A Python library to customize and control LLM by Abliteration","2 hours ago","2024-11-14T14:27:03.925Z"
118,"Show HN: I made a portable tar package manager","2 hours ago","2024-11-14T14:27:03.925Z"
119,"Run Linux Containers on FreeBSD 14 with Podman • Gyptazy.com – The DevOps Geek","2 hours ago","2024-11-14T14:27:03.925Z"
120,"Yo Frankie! Open Game","2 hours ago","2024-11-14T14:27:03.925Z"
121,"Arsine (AsH3) – From Reconnaissance Balloons to Integrated Circuits","2 hours ago","2024-11-14T14:27:03.925Z"
122,"Keycloak took 10 months to fix a 2FA bypass","2 hours ago","2024-11-14T14:27:03.925Z"
123,"AI Music Generator","2 hours ago","2024-11-14T14:27:03.925Z"
124,"Microsoft releases Windows 11 ISOs for ARM64-based PCs","2 hours ago","2024-11-14T14:27:03.925Z"
125,"Guest Post: Final Encoding in RPython Interpreters","2 hours ago","2024-11-14T14:27:03.925Z"
126,"PyPI now supports digital attestations","2 hours ago","2024-11-14T14:27:03.256Z"
127,"Pop hit APT too distracting for S Korea's exam-stressed students","2 hours ago","2024-11-14T14:27:03.256Z"
128,"The Onion wins Alex Jones' Infowars in bankruptcy auction","2 hours ago","2024-11-14T14:27:03.256Z"
129,"Ask HN: Those who have burned out on Cloud/DevOps work, what do you do now?","2 hours ago","2024-11-14T14:27:03.256Z"
130,"Show HN: Convert Any Website into a Professional PDF [video]","2 hours ago","2024-11-14T14:27:03.256Z"
131,"Attestations: A new generation of signatures on PyPI","2 hours ago","2024-11-14T14:27:03.256Z"
132,"Sergey Prokudin-Gorsky, Unknown Genius of Colour Photography","2 hours ago","2024-11-14T14:27:03.256Z"
133,"Sophos reveals 5-year battle with Chinese hackers attacking network devices","2 hours ago","2024-11-14T14:27:03.256Z"
134,"Meet Wi-Fi 8, which will trade speed for a more reliable experience","2 hours ago","2024-11-14T14:27:03.256Z"
135,"A Better Ranking Algorithm [2022]","2 hours ago","2024-11-14T14:27:03.256Z"
136,"The Onion Buys Alex Jones's Infowars Out of Bankruptcy","2 hours ago","2024-11-14T14:27:03.256Z"
137,"ERC4626 Stablecoin Yield Explorer and Optimizer","2 hours ago","2024-11-14T14:27:03.256Z"
138,"I used ChatGPT to create a custom skin routine. These are the two month results","2 hours ago","2024-11-14T14:27:03.256Z"
139,"1964 Antique Modem Live Demo [video]","2 hours ago","2024-11-14T14:27:03.256Z"
140,"Lightspeed on Tech in Sea – Southeast Asia: Resetting Expectations [pdf]","2 hours ago","2024-11-14T14:27:03.256Z"
141,"World diabetes 1990 – 2022 prevalence analysis in 1108 studies and 141M subjects","2 hours ago","2024-11-14T14:27:03.256Z"
142,"Delhi High Court issues summons to Wikipedia users in ANI's defamation suit","2 hours ago","2024-11-14T14:27:03.256Z"
143,"How the Ivy League Broke America","2 hours ago","2024-11-14T14:27:03.256Z"
144,"In Memory of Lunar","2 hours ago","2024-11-14T14:27:03.256Z"
145,"Data Mesh: From the Database's Point of View","2 hours ago","2024-11-14T14:27:03.256Z"
146,"Meta fined nearly €800M for breaking EU law over classified ads practices","2 hours ago","2024-11-14T14:27:03.256Z"
147,"Web authoring tasks you'd think should be easy but are surprisingly hard","3 hours ago","2024-11-14T13:27:03.925Z"
148,"Show HN: My website to find remote work in Spain","3 hours ago","2024-11-14T13:27:03.925Z"
149,"Ask HN: What do you think about CSV to Postgres?","3 hours ago","2024-11-14T13:27:03.925Z"
150,"Smarter dogs have smaller brains, surprising study reveals","3 hours ago","2024-11-14T13:27:03.925Z"
